District,Division,Area,Club,Clubname,Clubstatus,Clubcity,Clubstate,Clubzip,Clubcountry
50,E,11,5509,Twin Cities Club,Active,Texarkana,TX,75501,United States
50,E,11,7036,University Club,Active,Texarkana,TX,75501,United States
50,E,12,584009,Conquerors Club,Active,Barksdale AFB,LA,71110,United States
50,E,11,9682,200 Watt Speakers Club,Active,Shreveport,LA,71101,United States
50,E,11,1100434,Solid Rock,Active,Texarkana,TX,75501-6314,United States
,E11,5,,,,,,,
50,E,12,718,Shreveport Club,Active,Shreveport,LA,71101,United States
50,E,12,4819,Eagle Club,Active,Shreveport,LA,71106,United States
50,E,12,9790,Bossier Speakers,Active,Bossier City,LA,71111,United States
50,E,12,5069647,Tri-Community Toastmasters,Active,Doyline,LA,71023,United States
50,E,12,7575630,Oschner LSU Health Shreveport,Active,Shreveport,LA,71103-4228,United States
,E12,5,,,,,,,
50,E,13,2427,Garden Valley Toastmasters,Active,Lindale,TX,75771,United States
50,E,13,5719,Longview Toastmasters Club,Active,Longview,TX,75602,United States
50,E,13,1171849,SFG,Active,Big Sandy,TX,75755,United States
50,E,13,4801055,Longview Evening Toastmasters,Active,Longview,TX,75604-4000,United States
,,,7026351,Cooper Masterminds,Ineligible,Longview,TX,75601-3000,United States
50,E,13,7463287,Tyler Advanced Toasties,Active,Tyler,TX,75702-5836,United States
,E13,5,,,,,,,
50,E,14,4154,Tyler Morning Toastmasters Club,Active,Tyler,TX,75701,United States
50,E,14,7817,Tyler Evening Toastmasters Club,Active,Tyler,TX,75701,United States
50,E,14,7881,Rose Toasters Club,Active,Tyler,TX,75702,United States
50,E,14,1412885,Blueprint Toasters,Active,Tyler,TX,75702-5622,United States
50,E,14,7031829,Trane Tyler Toastmasters,Active,Tyler,TX,75707-1948,United States
,E14,5,,,,,,,
50,E,15,4182,Toastmasters of Rockwall Club,Active,Rockwall,TX,75087,United States
50,E,15,9354,Awesome Articulators,Active,Greenville,TX,75402,United States
50,E,15,1526701,Toastmasters of Terrell,Active,Terrell,TX,75160,United States
50,E,15,1535564,Speak EZ,Active,Greenville,TX,75402,United States
,E15,4,,,,,,,
50,E,16,9469,Bon Hams Toastmasters Club,Active,Bonham,TX,75418-3724,United States
50,E,16,9598,Creative Expressions Club,Active,McKinney,TX,75071-2813,United States
50,E,16,607240,High Noon Club,Active,Sherman,TX,75090,United States
50,E,16,3812934,McKinney Motivators,Active,McKinney,TX,75070-2908,United States
,,,7226925,Playful Masters,Active,McKinney,TX,75069,United States
,E16,4,,,,,,,
,Eastern,28,,,,,,,
,,,,,,,,,
50,F,21,4095,Park Central Toastmasters,Active,Plano,TX,75075,United States
50,F,21,8110,Premier Presenters,Ineligible,Plano,TX,75024,United States
50,F,21,942489,Toastronix Club,Active,Allen,TX,75013,United States
50,F,21,1581643,Speak Up Allen,Active,Allen,TX,75013,United States
50,F,21,6891000,RKT Toastmasters,Active,Allen,TX,75013,United States
,,,6989067,Carrington Speaks,Ineligible,Plano,TX,75024-6126,United States
,F21,5,,,,,,,
50,F,22,3074518,Shops At Legacy,Active,Plano,TX,75024,United States
50,F,22,3408653,Globe Life Toastmasters,Active,McKinney,TX,75070-5934,United States
50,F,22,5112712,Amazing Champions,Active,Plano,TX,75025,United States
50,F,22,6941603,Plano Splunk Toastmasters Club,Ineligible,Plano,TX,75024-3130,United States
50,F,22,7680560,Parkwood Pontificators,Active,Plano,TX,75024-7198,United States
,F22,5,,,,,,,
50,F,23,5042512,T Masters,Active,Frisco,TX,75034-4159,United States
50,F,23,5553533,Frisco Speaks Up,Active,Frisco,TX,75034,United States
50,F,23,7022029,CruiseMasters,Active,Plano,TX,75025-5834,United States
50,F,23,7479372,Confident Leaders Toastmasters,Active,Plano,TX,75024,United States
50,F,23,7554675,Just Speechy,Active,Frisco,TX,75034-8528,United States
,F23,5,,,,,,,
50,F,24,4015,Plano Talkers Club,Active,Plano,TX,75075,United States
50,F,24,730163,St Andrew Speakers Club,Active,Plano,TX,75093-4637,United States
50,F,24,1463775,PMI Dallas Toastmasters,Active,Plano,TX,75024,United States
50,F,24,2556863,Top Notch Toastmasters,Active,Carrollton,TX,75010,United States
,,,2557034,AmerisourceBergen - Blue,Low,Frisco,TX,75034-8655,United States
,F24,4,,,,,,,
50,F,25,7274,Unique Toastmasters,Active,Frisco,TX,75034,United States
50,F,25,8363,2 Change U,Active,Plano,TX,75025,United States
50,F,25,1165752,Pepsico Presenters,Active,Plano,TX,75024-5838,United States
50,F,25,3240871,Visigoth Toastmasters,Active,Plano,TX,75024-2302,United States
,F25,4,,,,,,,
50,F,26,6071,Speak-Up Frisco!,Active,Plano,TX,75024,United States
50,F,26,1595518,McAfee Toastmasters,Active,Plano,TX,75024-5826,United States
,,,5440365,Cruisers Toastmasters Club,Ineligible,Plano,TX,75075-6919,United States
50,F,26,6754191,Intuit Toastmasters,Active,Plano,TX,75024-5839,United States
50,F,26,6970706,OCC Speaks Toastmasters,Active,Plano,TX,75025-5103,United States
,F26,4,,,,,,,
50,F,27,1050311,Plano Beverage Boasters,Active,Plano,TX,75024,United States
50,F,27,5869106,Dallas Speaks Plano,Active,Plano,TX,75024,United States
50,F,27,6644914,Hilti Plano,Active,Plano,TX,75024-4923,United States
50,F,27,6887806,Roaring Speakers,Active,Frisco,TX,75033,United States
,F27,4,,,,,,,
,Frontier,31,,,,,,,
,,,,,,,,,
50,M,31,713,"Big ""D"" Toastmasters",Active,Dallas,TX,75206,United States
50,M,31,1190,Trinity Toastmasters Club,Active,Dallas,TX,75231,United States
50,M,31,3549,11K Toastmasters,Active,Dallas,TX,75201,United States
50,M,31,6975086,Easy Speakers,Active,Dallas,TX,75207-3134,United States
50,M,31,7384295,Forney Toastmasters Unlimited,Active,Forney,TX,75126-4136,United States
,M31,5,,,,,,,
50,M,32,2364,Hillcrest Club,Active,Dallas,TX,75230,United States
50,M,32,4108,Eagles Club #4108,Active,Dallas,TX,75231,United States
50,M,32,4110,Rising Stars Club,Active,Dallas,TX,75231-2208,United States
50,M,32,8412,TI Center Orators,Active,Dallas,TX,75243,United States
,M32,4,,,,,,,
50,M,33,2912,Dallas Social Toastmasters,Active,Dallas,TX,75206-5009,United States
50,M,33,1176566,Dallas ISD Talk It Up!,Active,Dallas,TX,75228-4861,United States
50,M,33,3808028,TRN Talkers,Low,Dallas,TX,75207-2401,United States
50,M,33,7335280,Benefitmall Toastmasters,Active,Dallas,TX,75251-1803,United States
,M33,4,,,,,,,
50,M,34,3484,Exceed Club,Active,Dallas,TX,75207,United States
50,M,34,8041,Lambda Pride Toastmasters Club,Active,Dallas,TX,75219,United States
50,M,34,8631,Leadership Lambda Toastmasters Club,Active,Dallas,TX,75205,United States
50,M,34,2876291,LUV Toastmasters,Active,Dallas,TX,75235-1908,United States
50,M,34,7055526,TK Toastmasters,Active,Dallas,TX,75201-2532,United States
,M34,5,,,,,,,
50,M,35,8552,Dallas Sunrise Toastmasters,Active,Dallas,TX,75206,United States
50,M,35,1588444,Evening Orators,Active,Dallas,TX,75235,United States
,,,4082711,Aon Dallas,Ineligible,Dallas,TX,75204-2932,United States
50,M,35,4718634,Best of Dallas Toastmasters,Active,Dallas,TX,75206,United States
50,M,35,5979630,Crescent Toastmasters,Active,Dallas,TX,75201,United States
50,M,35,6053929,Unity of Dallas Toastmasters,Active,Dallas,TX,75230-2807,United States
,M35,5,,,,,,,
50,M,36,1171779,Freeman Face to Face Toastmasters,Active,Dallas,TX,75235,United States
50,M,36,2342008,UPS Red River District,Ineligible,Dallas,TX,75229-4905,United States
50,M,36,6613239,Prostmasters,Active,Garland,TX,75040-3210,United States
50,M,36,,Trinity Towers Club,,,,,
,M36,4,,,,,,,
50,M,37,1291183,Lakeside Speakers,Active,Dallas,TX,75251,United States
50,M,37,2923054,Heartmasters,Active,Dallas,TX,75231-5129,United States
50,M,37,6136530,Tee It Up Toastmasters,Active,Dallas,TX,75231-6436,United States
50,M,37,,Dallas Campus Club,,,,,
50,M,37,7532701,ICE Dallas Toastmasters Club,Active,Dallas,TX,75220-5154,United States
,M37,5,,,,,,,
,Metro,32,,,,,,,
,,,,,,,,,
50,P,41,6380,Fiesta Bilingual Toastmasters Club,Active,Richardson,TX,75082,United States
50,P,41,7533,High Five Toastmasters,Active,Dallas,TX,75243,United States
50,P,41,9161,Texas Dragon Toastmasters Club,Active,Richardson,TX,75080,United States
50,P,41,7327347,"Realpage, Inc. Corporate Club",Active,Richardson,TX,75082-4305,United States
,P41,4,,,,,,,
50,P,42,6523,Garland Communicators Club,Active,Garland,TX,75040,United States
50,P,42,1047602,Global Communication Leaders,Active,Richardson,TX,75081,United States
,,,1986274,Toasting Texans,Ineligible,Richardson,TX,75082-3515,United States
50,P,42,2932489,Worldwide Facilities Lunchtime Linguists,Ineligible,Dallas,TX,75243-1108,United States
50,P,42,6990556,Armor Toastmasters,Active,Richardson,TX,75082-4452,United States
,P42,4,,,,,,,
50,P,43,1331602,Rockwell Collins Communicators Club,Active,Richardson,TX,75082-2402,United States
50,P,43,1995527,BCBSTX Toasties,Active,Richardson,TX,75082,United States
50,P,43,4750107,Politically Incorrect Toastmasters,Active,Carrollton,TX,75007,United States
50,P,43,4886038,Halff Richardson Toastmasters,Active,Richardson,TX,75081-2220,United States
,P43,4,,,,,,,
50,P,44,5736,Verbal Expressions Club #5736,Active,Richardson,TX,75081,United States
50,P,44,630505,Hallelujah High Toastmasters,Active,Plano,TX,75075,United States
50,P,44,3356972,Remarkable Communicators,Active,Richardson,TX,75082-2031,United States
50,P,44,3372438,Fun Asia Richardson,Active,Richardson,TX,75081-3707,United States
,P44,4,,,,,,,
50,P,45,4721,Plano Frontier Club,Active,Plano,TX,75074,United States
50,P,45,695532,Let's Talk Club,Active,Plano,TX,75074,United States
50,P,45,845547,Wylie Wisecrackers,Active,Wylie,TX,75098,United States
50,P,45,7011562,TCB Richardson Toastmasters Club,Active,Richardson,TX,75082-4312,United States
,P45,4,,,,,,,
50,P,46,1207,Garland Toastmasters,Active,Garland,TX,75043,United States
50,P,46,6142,Mesquite Club,Active,Contact us today,TX,75150,United States
50,P,46,6654663,Rodeo Springs Toastmasters Club,Active,Mesquite,TX,75181-2805,United States
50,P,46,7384324,Rowlett Toastmasters,Active,Rowlett,TX,75088-5093,United States
,P46,4,,,,,,,
50,P,47,5055,Allen Toastmasters Club,Active,Allen,TX,75002,United States
50,P,47,1176575,Eloquent Orators,Active,Plano,TX,75074,United States
50,P,47,2189079,JHA Texas Toast,Active,Allen,TX,75013-2790,United States
50,P,47,7306126,HARMAN Loudspeakers,Active,Richardson,TX,75082-3546,United States
,P47,4,,,,,,,
,Plains,28,,,,,,,
,,,,,,,,,
,,,3536,Young Street Yappers Club,Ineligible,Dallas,TX,75202,United States
50,S,51,4858,Environmentally Correct TM Club,Active,Dallas,TX,75270-2102,United States
50,S,51,5928,iTalk Toastmasters,Active,Dallas,TX,75202-4295,United States
50,S,51,8853,EY Young Guns Toastmasters Club,Active,Dallas,TX,75270,United States
50,S,57,5069662,United Voices,Active,Dallas,TX,75242-1001,United States
50,S,51,9019,Eloquent Articulators Club,Active,Dallas,TX,75201-3430,United States
,S51,5,,,,,,,
50,S,52,8941,Bank of America Texas Talkers Club,Active,Dallas,TX,75202,United States
50,S,56,5918,Counselors Club,Active,Dallas,TX,75201-2703,United States
50,S,52,1408278,VA Speakers Extraordinaire,Active,Dallas,TX,75216-7167,United States
50,S,52,3063370,Comerica Tower Toastmasters,Active,Dallas,TX,75201,United States
50,S,52,7402713,Marsh and McLennan Agency Toastmasters,Active,Dallas,TX,75231-4337,United States
,S52,5,,,,,,,
50,S,53,437,Literary Legends Club,Active,Dallas,TX,75237,United States
50,S,56,4157985,Transit Talkers,Active,Dallas,TX,75202,United States
50,S,57,7258997,Capital One Toastmasters,Active,Dallas,TX,75201-2822,United States
50,S,53,584516,Talkitecture Club,Active,Dallas,TX,75202-2010,United States
,,,3193656,Toast of Dallas,Ineligible,Dallas,TX,75202-5002,United States
50,S,53,7479409,Lead and Inspire Toastmasters,Ineligible,DeSoto,TX,75115-2925,United States
,S53,5,,,,,,,
50,S,54,2209,Exchange Toastmasters Club,Low,Dallas,TX,75236-1598,United States
50,S,54,6661,El Centro Toastmasters Club,Active,Dallas,TX,75202-3604,United States
50,S,55,1721,Vocal Visionaries,Active,Dallas,TX,75211,United States
50,S,54,3395235,Oncor Dallas Toastmasters,Active,Dallas,TX,75202-1234,United States
50,S,54,3401898,DCCCD Talks,Active,Dallas,TX,75215-1816,United States
,S54,5,,,,,,,
50,S,55,1165,City Talkers Toastmasters Club,Ineligible,Dallas,TX,75201-6318,United States
50,S,57,7544350,Manheim Dallas,Active,Dallas,TX,75236-1055,United States
50,S,55,583467,Waxahachie Club,Active,Waxahachie,TX,75165,United States
50,S,55,2038660,Anointed Oak Cliff Orators,Active,Dallas,TX,75232,United States
50,S,55,3431353,Talk of the Town Toastmasters,Active,DeSoto,TX,75115-7506,United States
,S55,5,,,,,,,
50,S,56,6590,Roving 49ers,Active,Dallas,TX,75234,United States
50,S,57,7051404,Regional Hispanic Contractor Association,Ineligible,Dallas,TX,75224-1636,United States
50,S,57,5859633,MLK Dallas Toastmasters Club,Active,Dallas,TX,75215,United States
50,S,56,7452,Arts District Club,Active,Dallas,TX,75201,United States
50,S,56,953233,HKS DoubleCheck Chatters,Active,Dallas,TX,75201,United States
,S56,5,,,,,,,
,,,,,,,,,
,S57,0,,,,,,,
,Southern,30,,,,,,,
,,,,,,,,,
50,T,61,3318,Metrocrest Toastmasters,Active,Addison,TX,75001,United States
50,T,61,4533,TNT Toastmasters Club,Active,Addison,TX,75001-4303,United States
50,T,61,614471,Fusion Toastmasters,Active,Plano,TX,75093-7500,United States
50,T,61,4918271,Super Toastmasters of Alpha Road,Active,Farmers Branch,TX,75244-9440,United States
,,,5539389,Flight School,Ineligible,Farmers Branch,TX,75234-6059,United States
,T61,4,,,,,,,
50,T,62,5981,Carrollton Toastmasters,Active,Carrollton,TX,75007,United States
50,T,62,8952,Talk Of The Tower Toastmasters Club,Active,Dallas,TX,75244,United States
50,T,62,1158551,Plano Fun Masters,Active,Plano,TX,75093,United States
50,T,62,4665568,Electric Toasters,Active,Carrollton,TX,75006,United States
,,,6849172,Scorpion - TX,Ineligible,Addison,TX,75001-3333,United States
,T62,4,,,,,,,
50,T,63,5674,Mary Kay Toastmasters Club,Active,Addison,TX,75001-6820,United States
50,T,63,997315,Legacy Speakers,Active,Plano,TX,75024,United States
50,T,63,1036600,Plano Toastmasters,Active,Plano,TX,75093,United States
,,,5111598,Leading Homeward,Ineligible,Addison,TX,75001-5116,United States
50,T,63,7123081,McLane Foodservice,Active,Carrollton,TX,75006-5063,United States
,T63,4,,,,,,,
50,T,64,1244830,Timberglen Toastmasters,Active,Dallas,TX,75287,United States
50,T,64,1582927,Covenant Voices,Active,Carrollton,TX,75006,United States
50,T,64,5845495,Lennox PD&R Toastmasters,Active,Carrollton,TX,75006-5729,United States
50,T,64,6632930,PAN Toasters,Active,Plano,TX,75093-7864,United States
,T64,4,,,,,,,
50,T,65,967,Ericsson Village Toastmasters Club,Active,Plano,TX,75024-3607,United States
50,T,65,4107,Chattering Chesters Club,Active,Plano,TX,75024-4002,United States
50,T,65,7059,Penney Partners Toastmasters Club,Active,Plano,TX,75024-3612,United States
50,T,65,7587,Easy. Really. Speakers Club,Active,Plano,TX,75024-4100,United States
,T65,4,,,,,,,
50,T,66,8169,Taxing Toasters Club,Active,Carrollton,TX,75006,United States
,,,4544437,Excentus Toastmasters,Ineligible,Dallas,TX,75254-2949,United States
50,T,66,5885814,USAA Dallas Speaks Addison,Active,Addison,TX,75001-3467,United States
50,T,63,5545568,Leading Edge Toastmasters,Active,Carrollton,TX,75006,United States
50,T,66,6861322,Speech Please!,Active,Addison,TX,75001-3311,United States
50,T,66,7195588,Trintech Toastmasters,Active,Addison,TX,75001-3369,United States
,T66,5,,,,,,,
50,T,67,6786,Toastmasters @ NTT DATA Services,Active,Plano,TX,75024-3612,United States
50,T,67,778421,Chase Masters,Active,Plano,TX,75024,United States
50,V,71,4786679,Chase Leadership Through Communication,Active,Plano,TX,75024,United States
50,T,67,6715494,Lexus Linguists,Active,Plano,TX,75024,United States
50,T,67,7034388,Toyota Performance Speakers,Active,Plano,TX,75024,United States
,T67,5,,,,,,,
,TownNorth,30,,,,,,,
,,,,,,,,,
50,V,71,2808,Ryan Rhetorics Club,Active,Dallas,TX,75240,United States
50,V,77,3761504,The Evaluators,Active,Dallas,TX,75230,United States
50,V,77,7113268,Softtek USA Toastmasters,Active,Addison,TX,75001-4677,United States
50,V,71,1205153,Auction.Com Toastmasters,Low,Plano,TX,75093,United States
,,,4550125,Speak Up Brinker Toastmasters,Ineligible,Dallas,TX,75240-6511,United States
50,V,71,4793192,COPART TOASTMASTERS,Active,Dallas,TX,75254-1327,United States
,,,5803183,AWS DFW11 Toastmasters,Ineligible,Dallas,TX,75240-6620,United States
,,,5843860,Stream Toastmasters,Ineligible,Dallas,TX,75254,United States
,V71,5,,,,,,,
50,V,72,8983,Financial Express Club,Active,Plano,TX,75075-8205,United States
50,V,76,6820584,Speak To Lead,Active,Richardson,TX,75080-1153,United States
50,V,72,9214,Word Wranglers Club,Active,Richardson,TX,75080,United States
50,V,72,992874,University Toastmasters of Dallas,Ineligible,Richardson,TX,75080-3021,United States
,V72,4,,,,,,,
50,V,73,2146,Richardson Noon Toastmasters Club,Active,Richardson,TX,75080,United States
50,V,73,4446,Richardson Icebreakers,Active,Richardson,TX,75080-5801,United States
50,V,77,3859,Texins Toastmasters Club,Active,Richardson,TX,75080,United States
50,V,73,9872,Addison Singles Toastmasters,Active,Addison,TX,75001,United States
50,V,73,,Metro Masters,,,,,
,,,1514133,The Speakers of JSOM,Ineligible,Richardson,TX,75080,United States
,V73,5,,,,,,,
50,V,74,1783,Executive Toastmasters Club,Active,Dallas,TX,75248-3482,United States
50,V,74,596735,Prospeak Toastmasters,Active,Plano,TX,75074,United States
50,V,74,4700632,The Changemakers,Ineligible,Richardson,TX,75080,United States
50,V,74,5258000,Orators At UTD,Active,Richardson,TX,75080-3021,United States
,V74,4,,,,,,,
50,V,75,2690,Richardson Evening Toastmasters,Active,Richardson,TX,75081,United States
,,,7484,Nokia Communicators Toastmasters Club,Ineligible,Plano,TX,75075-8011,United States
50,V,75,8569,Lennox International Toastmasters Club,Active,Richardson,TX,75080,United States
50,V,75,3929213,Talk Like A Leader,Active,Richardson,TX,75080-1137,United States
50,V,75,4822437,The Storytellers,Active,Dallas,TX,75252,United States
,V75,4,,,,,,,
50,V,76,5569,Preston Persuaders,Active,Richardson,TX,75080,United States
50,V,72,5402376,Inside Edge,Active,Dallas,TX,75240,United States
50,V,76,1565753,JSOM Friday Toastmasters,Active,Richardson,TX,75080-3021,United States
50,V,76,4516522,JSOM Tuesday Toastmasters,Active,Richardson,TX,75080-3021,United States
50,V,76,7550597,Toastworthy Speakers,Active,Farmers Brnch,TX,75234,United States
,V76,5,,,,,,,
,,,,,,,,,
,V77,0,,,,,,,
,Vista,27,,,,,,,
